name,slug,event
dr-nose,dr-know,Tue Nov 08 2016 00:00:00 GMT-0600 (Central Standard Time)
doctor-noels,dr-know,Tue Dec 13 2016 00:00:00 GMT-0600 (Central Standard Time)
dr-know-sir,dr-know,Tue Jan 10 2017 00:00:00 GMT-0600 (Central Standard Time)
doctor-nonsense,dr-know,Tue Mar 14 2017 00:00:00 GMT-0500 (Central Daylight Time)
dr-notrump,dr-know,Tue Apr 11 2017 00:00:00 GMT-0500 (Central Daylight Time)
dr-snow,dr-know,Tue Jul 11 2017 00:00:00 GMT-0500 (Central Daylight Time)
dr-no-prior-knowledge,dr-know,Tue Aug 08 2017 00:00:00 GMT-0500 (Central Daylight Time)
dr-nosferatu,dr-know,Tue Oct 10 2017 00:00:00 GMT-0500 (Central Daylight Time)
dr-nougat,dr-know,Tue Nov 14 2017 00:00:00 GMT-0600 (Central Standard Time)
dr-orsa,dr-know,Tue Dec 12 2017 00:00:00 GMT-0600 (Central Standard Time)
dr-nova,dr-know,Tue Feb 13 2018 00:00:00 GMT-0600 (Central Standard Time)
doctorum-negosa,dr-know,Tue Mar 13 2018 00:00:00 GMT-0500 (Central Daylight Time)
dr-dough,dr-know,Tue Apr 10 2018 00:00:00 GMT-0500 (Central Daylight Time)
dr-no-no,dr-know,Tue May 08 2018 00:00:00 GMT-0500 (Central Daylight Time)
dr-no-we-re-not-there-yet-don-t-make-me-turn-this-car-around,dr-know,Tue Jun 12 2018 00:00:00 GMT-0500 (Central Daylight Time)
dr-nogaroo,dr-know,Tue Jul 10 2018 00:00:00 GMT-0500 (Central Daylight Time)
dr-no-tyler-or-mikayla,dr-know,Tue Aug 14 2018 00:00:00 GMT-0500 (Central Daylight Time)
dr-knowie,dr-know,Tue Sep 11 2018 00:00:00 GMT-0500 (Central Daylight Time)
dr-knowlittle,dr-know,Tue Oct 09 2018 00:00:00 GMT-0500 (Central Daylight Time)
dr-leonordo,dr-know,Tue Nov 13 2018 00:00:00 GMT-0600 (Central Standard Time)
dr-snow,dr-know,Tue Dec 11 2018 00:00:00 GMT-0600 (Central Standard Time)
the-one-with-dr-know,dr-know,Tue Jan 08 2019 00:00:00 GMT-0600 (Central Standard Time)
dr-nocean,dr-know,Tue Feb 12 2019 00:00:00 GMT-0600 (Central Standard Time)
dr-notable-work-in-the-cultural-canon-that-we-know-nothing-about,dr-know,Tue Mar 12 2019 00:00:00 GMT-0500 (Central Daylight Time)
dr-know-running-in-the-halls,dr-know,Tue May 14 2019 00:00:00 GMT-0500 (Central Daylight Time)
dr-kno-brian,dr-know,Tue Jun 11 2019 00:00:00 GMT-0500 (Central Daylight Time)
dr-knasa,dr-know,Tue Jul 09 2019 00:00:00 GMT-0500 (Central Daylight Time)
dr-no-strings-attached,dr-know,Tue Aug 13 2019 00:00:00 GMT-0500 (Central Daylight Time)
dr-dimension-o,dr-know,Tue Sep 10 2019 00:00:00 GMT-0500 (Central Daylight Time)
dr-nosferatutu-electric-booooooooogaloo,dr-know,Tue Oct 08 2019 00:00:00 GMT-0500 (Central Daylight Time)
dr-note,dr-know,Tue Nov 12 2019 00:00:00 GMT-0600 (Central Standard Time)
dr-nokatomi,dr-know,Tue Dec 10 2019 00:00:00 GMT-0600 (Central Standard Time)
dr-knowko,dr-know,Tue Jan 14 2020 00:00:00 GMT-0600 (Central Standard Time)
dr-knowtorious,dr-know,Tue Mar 10 2020 00:00:00 GMT-0500 (Central Daylight Time)
dr-poirneaux,dr-know,Tue Jul 13 2021 00:00:00 GMT-0500 (Central Daylight Time)
dr-norway,dr-know,Tue Aug 10 2021 00:00:00 GMT-0500 (Central Daylight Time)
drknowonkrd,dr-know,Tue Sep 14 2021 00:00:00 GMT-0500 (Central Daylight Time)
dr-knowmayo-clinic,dr-know,Tue Oct 12 2021 00:00:00 GMT-0500 (Central Daylight Time)
dogtor-no,dr-know,Tue May 10 2022 00:00:00 GMT-0500 (Central Daylight Time)
dr-no,dr-know,Tue Sep 13 2022 00:00:00 GMT-0500 (Central Daylight Time)
dr-no-hands,dr-know,Tue Nov 08 2022 00:00:00 GMT-0600 (Central Standard Time)
dr-no-batts,dr-know,Tue Feb 14 2023 00:00:00 GMT-0600 (Central Standard Time)
dr-not-another-dnd-puzzle,dr-know,Tue Mar 14 2023 00:00:00 GMT-0500 (Central Daylight Time)
dr-oz,dr-know,Tue Jun 13 2023 00:00:00 GMT-0500 (Central Daylight Time)
dr-noel,dr-know,Tue Jul 11 2023 00:00:00 GMT-0500 (Central Daylight Time)
dr-who-knows,dr-know,Tue Aug 08 2023 00:00:00 GMT-0500 (Central Daylight Time)
dr-nome,dr-know,Tue Sep 12 2023 00:00:00 GMT-0500 (Central Daylight Time)
dr-knowbel,dr-know,Tue Oct 10 2023 00:00:00 GMT-0500 (Central Daylight Time)
dr-knowvember,dr-know,Tue Nov 14 2023 00:00:00 GMT-0600 (Central Standard Time)
dr-potatknows-and-knowlasses,dr-know,Tue Dec 12 2023 00:00:00 GMT-0600 (Central Standard Time)
doctor-gnome,dr-know,Tue Apr 09 2024 00:00:00 GMT-0500 (Central Daylight Time)
dr-n-oh,dr-know,Tue May 14 2024 00:00:00 GMT-0500 (Central Daylight Time)
doctor-know-stopping,dr-know,Tue Jul 09 2024 00:00:00 GMT-0500 (Central Daylight Time)
dr-milknow,dr-know,Tue Aug 13 2024 00:00:00 GMT-0500 (Central Daylight Time)
dr-know-turning-back,dr-know,Tue Sep 10 2024 00:00:00 GMT-0500 (Central Daylight Time)
dr-know-returns,dr-know,Tue Oct 08 2024 00:00:00 GMT-0500 (Central Daylight Time)
dr-knownagon,dr-know,Tue Dec 10 2024 00:00:00 GMT-0600 (Central Standard Time)
dr-knowy-owl,dr-know,Tue Feb 11 2025 00:00:00 GMT-0600 (Central Standard Time)
dr-deal-or-dr-know-deal,dr-know,Tue Jun 10 2025 00:00:00 GMT-0500 (Central Daylight Time)
dr-nü,dr-know,Tue Aug 12 2025 00:00:00 GMT-0500 (Central Daylight Time)
dr-knowbula,dr-know,Tue Oct 14 2025 00:00:00 GMT-0500 (Central Daylight Time)
dr-when-in-knowme,dr-know,Tue Sep 09 2025 00:00:00 GMT-0500 (Central Daylight Time)
dr-quinceaknowra,dr-know,Tue Jul 08 2025 00:00:00 GMT-0500 (Central Daylight Time)
ellen-kaitlin,ellen,Tue Mar 14 2023 00:00:00 GMT-0500 (Central Daylight Time)
me-myself-and-ellen,ellen,Tue Sep 12 2023 00:00:00 GMT-0500 (Central Daylight Time)
yay-ellen,ellen,Tue Apr 09 2024 00:00:00 GMT-0500 (Central Daylight Time)
ellen-and-the-noobs,ellen,Tue Oct 08 2024 00:00:00 GMT-0500 (Central Daylight Time)
ellen-with-a-gasp,ellen,Tue Nov 12 2024 00:00:00 GMT-0600 (Central Standard Time)
ellen-and-possibly-two-friends,ellen,Tue Jan 14 2025 00:00:00 GMT-0600 (Central Standard Time)
ellen-and,ellen,Tue Feb 11 2025 00:00:00 GMT-0600 (Central Standard Time)
ellen-friend,ellen,Tue May 13 2025 00:00:00 GMT-0500 (Central Daylight Time)
probably-just-ellen,ellen,Tue Jul 08 2025 00:00:00 GMT-0500 (Central Daylight Time)
ellen-and-friends,ellen,Tue Sep 09 2025 00:00:00 GMT-0500 (Central Daylight Time)
just-ellen,ellen,
forcabsons,gangan-and-forcobsons,Tue Sep 09 2025 00:00:00 GMT-0500 (Central Daylight Time)
gangan-and-forcobsons,gangan-and-forcobsons,Tue Oct 14 2025 00:00:00 GMT-0500 (Central Daylight Time)
gangan,gangan-and-forcobsons,
gentleman-johnny,gentleman-johnny-s-party-train,Tue Aug 08 2023 00:00:00 GMT-0500 (Central Daylight Time)
gentelman-johnny-s-party-train,gentleman-johnny-s-party-train,Tue Sep 09 2025 00:00:00 GMT-0500 (Central Daylight Time)
gordian,gordians,Tue Oct 11 2022 00:00:00 GMT-0500 (Central Daylight Time)
mikaela-s-team,michaela-s-team,Tue Aug 08 2023 00:00:00 GMT-0500 (Central Daylight Time)
puzzlstar-puzzlactica,puzzlestar-puzzlactica,Tue Apr 09 2019 00:00:00 GMT-0500 (Central Daylight Time)
puzzlestar,puzzlestar-puzzlactica,Tue Aug 09 2022 00:00:00 GMT-0500 (Central Daylight Time)
quizteama-aguilera-tries-puzzles,quiztina-aguilera,Tue Mar 12 2019 00:00:00 GMT-0500 (Central Daylight Time)
quizteama-aguilera-does-puzzles,quiztina-aguilera,Tue Apr 09 2019 00:00:00 GMT-0500 (Central Daylight Time)
quizteama-aguilera-does-puzzles,quiztina-aguilera,Tue Jun 11 2019 00:00:00 GMT-0500 (Central Daylight Time)
quizteama-does-puzzles,quiztina-aguilera,Tue Dec 10 2019 00:00:00 GMT-0600 (Central Standard Time)
quizteama-does-puzzles,quiztina-aguilera,Tue Feb 11 2020 00:00:00 GMT-0600 (Central Standard Time)
quizteama,quiztina-aguilera,Tue Mar 10 2020 00:00:00 GMT-0500 (Central Daylight Time)
quiz-tina-aguilera,quiztina-aguilera,Tue Apr 09 2024 00:00:00 GMT-0500 (Central Daylight Time)
quizteam-aguilera,quiztina-aguilera,Tue May 14 2024 00:00:00 GMT-0500 (Central Daylight Time)
quiz-tina-aguilera,quiztina-aguilera,Tue Jun 11 2024 00:00:00 GMT-0500 (Central Daylight Time)
quiz-tina-aguilara,quiztina-aguilera,Tue Aug 13 2024 00:00:00 GMT-0500 (Central Daylight Time)
quiztina-aguilara,quiztina-aguilera,Tue Nov 12 2024 00:00:00 GMT-0600 (Central Standard Time)
quiz-tina-aguilera,quiztina-aguilera,Tue Dec 10 2024 00:00:00 GMT-0600 (Central Standard Time)
quiz-tina-agulera,quiztina-aguilera,Tue Jan 14 2025 00:00:00 GMT-0600 (Central Standard Time)
spinash,spinish,Tue Oct 11 2016 00:00:00 GMT-0500 (Central Daylight Time)
ftt-failure-to-thrive-annie-l-heureux,tainted-ladies,Tue Mar 14 2023 00:00:00 GMT-0500 (Central Daylight Time)
annie-l-heureux,tainted-ladies,Tue Apr 11 2023 00:00:00 GMT-0500 (Central Daylight Time)
tainted-laidies,tainted-ladies,Tue Nov 14 2023 00:00:00 GMT-0600 (Central Standard Time)
tainted-ladies-man,tainted-ladies,Tue Aug 12 2025 00:00:00 GMT-0500 (Central Daylight Time)
team-s-team,team-kat-s-team,Tue Apr 09 2019 00:00:00 GMT-0500 (Central Daylight Time)
team-s-team,team-kat-s-team,Tue Jul 09 2019 00:00:00 GMT-0500 (Central Daylight Time)
team-s-team,team-kat-s-team,Tue Sep 10 2019 00:00:00 GMT-0500 (Central Daylight Time)
team-s-team,team-kat-s-team,Tue Dec 10 2019 00:00:00 GMT-0600 (Central Standard Time)
team,team-kat-s-team,Tue Jan 14 2020 00:00:00 GMT-0600 (Central Standard Time)
team,team-kat-s-team,Tue Feb 11 2020 00:00:00 GMT-0600 (Central Standard Time)
team-s-team,team-kat-s-team,Tue Mar 10 2020 00:00:00 GMT-0500 (Central Daylight Time)
team-s-team,team-kat-s-team,Tue Aug 13 2024 00:00:00 GMT-0500 (Central Daylight Time)
team-s-team,team-kat-s-team,Tue Jul 08 2025 00:00:00 GMT-0500 (Central Daylight Time)
team-s-team,team-kat-s-team,Tue Nov 11 2025 00:00:00 GMT-0600 (Central Standard Time)
0s,zero-seconds,
team-zero-seconds,zero-seconds,
